clusterId,state,clusterName,zone,pincode,placeName
446,Andaman And nicobar islands,744,Nicobar,744302,Shabnamnagar
446,Andaman And nicobar islands,744,Nicobar,744301,Sawai
446,Andaman And nicobar islands,744,Nicobar,744303,Trinket
446,Andaman And nicobar islands,744,Nicobar,744304,Nehrugram
447,Andaman And nicobar islands,744,North And middle andaman,744202,Swarajgram
447,Andaman And nicobar islands,744,North And middle andaman,744208,Bakultala
447,Andaman And nicobar islands,744,North And middle andaman,744201,Swdeshnagar
447,Andaman And nicobar islands,744,North And middle andaman,744209,Uttara
447,Andaman And nicobar islands,744,North And middle andaman,744210,Sankarnalla
447,Andaman And nicobar islands,744,North And middle andaman,744205,Sabari
447,Andaman And nicobar islands,744,North And middle andaman,744203,Long Island
447,Andaman And nicobar islands,744,North And middle andaman,744204,Weby
448,Andaman And nicobar islands,744,South Andaman,744104,Sitapur
448,Andaman And nicobar islands,744,South Andaman,744107,Stewertgunj
448,Andaman And nicobar islands,744,South Andaman,744108,Beachdera
448,Andaman And nicobar islands,744,South Andaman,744105,Sippighat
448,Andaman And nicobar islands,744,South Andaman,744103,Wandoor
448,Andaman And nicobar islands,744,South Andaman,744206,Wimberlygunj
448,Andaman And nicobar islands,744,South Andaman,744102,Haddo
448,Andaman And nicobar islands,744,South Andaman,744211,Strait  island
448,Andaman And nicobar islands,744,South Andaman,744109,Herbertabad
448,Andaman And nicobar islands,744,South Andaman,744110,Humferygunj
448,Andaman And nicobar islands,744,South Andaman,744207,Vivekandapur
448,Andaman And nicobar islands,744,South Andaman,744101,Port Blair
448,Andaman And nicobar islands,744,South Andaman,744111,Rubber Research station
448,Andaman And nicobar islands,744,South Andaman,744106,Shadipur
449,Arunachal Pradesh,786,Tirap,786630,Vally View
449,Arunachal Pradesh,786,Tirap,786629,Soha
449,Arunachal Pradesh,786,Tirap,786631,Wakka
450,Arunachal Pradesh,790,East Kameng,790102,Veo
450,Arunachal Pradesh,790,East Kameng,790103,Seijosa
451,Arunachal Pradesh,790,Tawang,790104,Temple Gompa
451,Arunachal Pradesh,790,Tawang,790106,Zimithang
451,Arunachal Pradesh,790,Tawang,790105,Thingbu
452,Arunachal Pradesh,790,West Kameng,790002,Tenzingaon
452,Arunachal Pradesh,790,West Kameng,790114,Tippi
452,Arunachal Pradesh,790,West Kameng,790001,Salari
452,Arunachal Pradesh,790,West Kameng,790116,Tenga Market
452,Arunachal Pradesh,790,West Kameng,790101,Senge
452,Arunachal Pradesh,790,West Kameng,790003,Shergaon
453,Arunachal Pradesh,791,East Siang,791102,Yagrung
